Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Date_Unix,Spread High-Low,Spread Close-Open,delta_Open,delta_High,delta_Low,delta_Close,delta_Spread High-Low,delta_Spread Close-Open,delta_Volume BTC,delta_Volume USD,MA_Close_24,MA_V_BTC_24,MA_Close_240,MA_V_BTC_240
2018-07-30 06-PM,BTCUSD,7902.44,7963.33,7850.0,7951.29,1227.87,9713745.3,1532973600000000000,113.33,48.85,-211.56,-154.77,-30.5,48.85,-124.27,260.41,-283.15,-2339823.54,8146.120417,337.49375,7935.881208,396.372458
2018-07-30 07-PM,BTCUSD,7951.29,8130.0,7951.29,8105.28,911.42,7337428.44,1532977200000000000,178.71,153.99,48.85,166.67,101.29,153.99,65.38,105.14,-316.45,-2376316.86,8141.7025,371.26875,7939.065875,396.947708
2018-07-30 08-PM,BTCUSD,8105.28,8178.0,8060.53,8146.15,726.42,5900438.14,1532980800000000000,117.47,40.87,153.99,48.0,109.24,40.87,-61.24,-113.12,-185.0,-1436990.3,8139.736667,395.95375,7942.392958,398.714167
2018-07-30 09-PM,BTCUSD,8146.15,8150.0,8110.0,8112.52,210.88,1712630.83,1532984400000000000,40.0,-33.63,40.87,-28.0,49.47,-33.63,-77.47,-74.5,-515.54,-4187807.31,8136.445417,398.905417,7945.820083,398.142542
2018-07-30 10-PM,BTCUSD,8112.52,8199.99,8112.51,8163.0,566.66,4626840.71,1532988000000000000,87.48,50.48,-33.63,49.99,2.51,50.48,47.48,84.11,355.78,2914209.88,8135.320417,416.979167,7949.205208,398.374333
2018-07-30 11-PM,BTCUSD,8163.0,8189.99,8163.0,8170.01,365.93,2990931.09,1532991600000000000,26.99,7.01,50.48,-10.0,50.49,7.01,-60.49,-43.47,-200.73,-1635909.62,8133.39,409.25,7952.686667,398.8515
2018-07-31 12-AM,BTCUSD,8170.01,8173.57,8110.5,8125.07,590.83,4808618.72,1532995200000000000,63.07,-44.94,7.01,-16.42,-52.5,-44.94,36.08,-51.95,224.9,1817687.63,8131.934583,400.998333,7956.379333,397.406708
2018-07-31 01-AM,BTCUSD,8125.07,8131.1,8107.0,8110.0,257.47,2091041.6,1532998800000000000,24.1,-15.07,-44.94,-42.47,-3.5,-15.07,-38.97,29.87,-333.36,-2717577.12,8127.7925,387.994583,7959.9165,397.242875
2018-07-31 02-AM,BTCUSD,8110.0,8135.0,8109.99,8116.0,134.24,1090905.52,1533002400000000000,25.01,6.0,-15.07,3.9,2.99,6.0,0.91,21.07,-123.23,-1000136.08,8124.584167,386.75375,7963.391458,397.091458
2018-07-31 03-AM,BTCUSD,8116.0,8121.0,8107.28,8112.61,105.04,852028.92,1533006000000000000,13.72,-3.39,6.0,-14.0,-2.71,-3.39,-11.29,-9.39,-29.2,-238876.6,8121.664583,386.336667,7966.840417,395.753125
2018-07-31 04-AM,BTCUSD,8112.61,8119.38,8077.0,8113.67,176.38,1428679.93,1533009600000000000,42.38,1.06,-3.39,-1.62,-30.28,1.06,28.66,4.45,71.34,576651.01,8119.109167,386.971667,7970.234917,396.127292
2018-07-31 05-AM,BTCUSD,8113.67,8119.63,8100.0,8119.63,205.9,1670112.83,1533013200000000000,19.63,5.96,1.06,0.25,23.0,5.96,-22.75,4.9,29.52,241432.9,8116.697917,392.61125,7973.541833,396.270833
2018-07-31 06-AM,BTCUSD,8119.63,8131.98,8119.62,8122.49,65.86,535142.38,1533016800000000000,12.36,2.86,5.96,12.35,19.62,2.86,-7.27,-3.1,-140.04,-1134970.45,8116.12125,384.773333,7976.840625,395.959833
2018-07-31 07-AM,BTCUSD,8122.49,8122.49,8110.21,8110.21,62.18,504428.1,1533020400000000000,12.28,-12.28,2.86,-9.49,-9.41,-12.28,-0.08,-15.14,-3.68,-30714.28,8114.463333,377.451667,7980.091542,395.783458
